hex,lat,lon,n_focos,brillo_medio,brillo_max,frp_medio,frp_max,brillo_t31_medio,pct_noche,pct_verano,pct_conf_alta,n_anios_activo,mes_pico,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,cobertura_veg,dist_asentamiento_km,dist_ruta_km
85cfa547fffffff,-51.357,-70.495,13.0,302.202,312.18,0.912,1.48,269.166,1.0,0.0,0.0,1.0,10.0,179.0,6.27,405.15,6.53,74.57,pastizal,91.689,41.14
85cfa567fffffff,-51.1,-70.949,5.0,311.874,332.04,1.314,1.51,283.9,0.8,1.0,0.0,1.0,12.0,299.0,5.77,361.35,6.55,72.73,matorral,103.411,4.48
85cfa56ffffffff,-51.003,-70.781,20.0,310.082,334.69,1.324,2.94,275.468,0.9,0.4,0.0,6.0,2.0,177.0,5.77,361.35,6.55,72.73,pastizal,119.192,1.78
85cfa573fffffff,-51.304,-70.703,11.0,347.174,367.0,14.62,28.69,283.028,0.0,0.0,0.091,1.0,5.0,217.0,5.77,361.35,6.55,72.73,pastizal,107.359,30.049
85cfa577fffffff,-51.251,-70.911,4.0,359.06,367.0,26.248,43.88,308.21,0.0,1.0,0.5,1.0,1.0,258.0,5.77,361.35,6.55,72.73,pastizal,98.142,21.125
85cfa57bfffffff,-51.206,-70.535,16.0,306.881,329.71,1.154,1.91,273.174,1.0,0.188,0.0,7.0,10.0,169.0,5.77,361.35,6.55,72.73,pastizal,100.944,25.693
85cfa5a3fffffff,-51.693,-71.386,19.0,344.659,367.0,47.615,114.35,296.084,0.0,1.0,0.053,1.0,2.0,355.0,4.57,470.85,6.96,80.62,pastizal,58.856,23.685
85cfa807fffffff,-48.974,-72.96,3.0,334.07,336.51,4.077,5.12,287.093,0.0,0.333,0.0,2.0,1.0,1402.0,3.29,412.45,6.51,77.65,suelo_desnudo,40.184,109.906
85cfa80ffffffff,-48.88,-72.792,5.0,309.376,330.4,2.878,8.05,281.688,0.8,1.0,0.0,2.0,1.0,809.0,3.29,412.45,6.51,77.65,pastizal,50.613,108.179
85cfa81bfffffff,-49.092,-72.56,4.0,340.095,367.0,32.785,59.76,298.555,0.25,0.0,0.0,1.0,4.0,640.0,3.29,412.45,6.51,77.65,suelo_desnudo,35.593,81.776
