hex,lat,lon,n_focos,riesgo_alto,proba_oof,elevacion,temp_media,precip_anual,viento_medio,humedad_relativa,dist_asentamiento_km,dist_ruta_km,cobertura_veg
85cea847fffffff,-41.408,-73.812,21.0,0,0.063012,120.0,10.71,1339.55,3.48,86.03,184.144,175.12,bosque
85cea84bfffffff,-41.392,-73.491,21.0,0,0.058559407,155.0,10.71,1339.55,3.48,86.03,159.088,150.484,bosque
85cea84ffffffff,-41.325,-73.664,17.0,0,0.030060513,336.0,10.71,1339.55,3.48,86.03,169.131,159.979,bosque
85cea853fffffff,-41.626,-73.613,55.0,0,0.08051242,9.0,10.71,1339.55,3.48,86.03,174.113,173.082,pastizal
85cea857fffffff,-41.559,-73.787,11.0,0,0.004501817,0.0,10.71,1339.55,3.48,86.03,189.604,181.183,agua
85cea85bfffffff,-41.542,-73.466,24.0,0,0.05055681,62.0,10.71,1339.55,3.48,86.03,165.484,157.636,bosque
85cea86bfffffff,-41.108,-73.861,13.0,0,0.042184968,548.0,10.34,1303.05,3.48,85.69,177.561,167.473,bosque
85cea87bfffffff,-41.258,-73.836,11.0,0,0.10232408,184.0,10.34,1303.05,3.48,85.69,180.098,170.511,bosque
85cea88bfffffff,-41.877,-74.061,6.0,0,0.2285777,0.0,11.43,1365.1,5.95,84.16,205.012,209.294,agua
85cea89bfffffff,-42.028,-74.037,8.0,0,0.2285777,0.0,11.43,1365.1,5.95,84.16,201.735,206.349,agua
85cea8c3fffffff,-41.86,-73.737,27.0,0,0.012881174,14.0,10.46,1441.75,3.31,86.47,178.542,182.7,agua
85cea8c7fffffff,-41.793,-73.911,2.0,0,0.042616744,8.0,10.46,1441.75,3.31,86.47,193.997,197.863,agua
85cea8cbfffffff,-41.776,-73.588,33.0,0,0.005336428,0.0,10.46,1441.75,3.31,86.47,167.939,171.321,bosque
85cea8cffffffff,-41.709,-73.762,25.0,0,0.010719577,0.0,10.46,1441.75,3.31,86.47,183.66,186.623,agua
85cea8d3fffffff,-42.011,-73.712,79.0,0,0.05959774,30.0,10.46,1441.75,3.31,86.47,174.902,179.462,bosque
85cea8d7fffffff,-41.944,-73.887,66.0,0,0.41997108,256.0,10.46,1441.75,3.31,86.47,189.844,194.266,bosque
85cea8dbfffffff,-41.926,-73.563,5.0,0,0.024789376,48.0,10.46,1441.75,3.31,86.47,163.27,167.587,bosque
85ceaa03fffffff,-40.992,-73.079,29.0,0,0.3326881,127.0,10.5,1226.4,2.31,85.56,110.637,100.711,pastizal
85ceaa07fffffff,-40.926,-73.25,164.0,1,0.319326,72.0,10.5,1226.4,2.31,85.56,123.161,112.799,cultivo
85ceaa0bfffffff,-40.909,-72.935,28.0,0,0.1387142,143.0,10.5,1226.4,2.31,85.56,96.673,86.459,bosque
